Monday: 09:00 - 17:00
Tuesday: 09:00 - 17:00
Wednesday: 09:00 - 18:00
Thursday: 09:00 - 17:00
Friday: 09:00 - 17:00
Saturday: 10:00 - 18:00
Sunday: 10:00 - 18:30

Day 1: 161 adults, 144 children
Day 2: 101 adults, 61 children
Day 3: 286 adults, 126 children
Day 4: 242 adults, 196 children
Day 5: 265 adults, 481 children
Day 6: 254 adults, 131 children
Day 7: 126 adults, 177 children
Day 8: 30 adults, 55 children
Day 9: 250 adults, 363 children
Day 10: 218 adults, 136 children
Day 11: 95 adults, 44 children
Day 12: 140 adults, 31 children
Day 13: 116 adults, 16 children
Day 14: 110 adults, 108 children
Day 15: 23 adults, 40 children
Day 16: 220 adults, 332 children
Day 17: 71 adults, 109 children
Day 18: 126 adults, 89 children
Day 19: 17 adults, 11 children
Day 20: 126 adults, 89 children
Day 21: 296 adults, 567 children
Day 22: 233 adults, 300 children
Day 23: 255 adults, 216 children
Day 24: 283 adults, 483 children
Day 25: 208 adults, 378 children
Day 26: 79 adults, 116 children
Day 27: 263 adults, 157 children
Day 28: 35 adults, 28 children
Day 29: 208 adults, 92 children
Day 30: 217 adults, 272 children
Day 31: 83 adults, 164 children
Day 32: 252 adults, 423 children
Day 33: 243 adults, 20 children
Day 34: 131 adults, 75 children
Day 35: 39 adults, 41 children
Day 36: 208 adults, 260 children
Day 37: 265 adults, 293 children
Day 38: 97 adults, 181 children
Day 39: 151 adults, 130 children
Day 40: 247 adults, 338 children
Day 41: 29 adults, 32 children
Day 42: 207 adults, 167 children
Day 43: 239 adults, 165 children
Day 44: 279 adults, 46 children
Day 45: 111 adults, 109 children
Day 46: 15 adults, 27 children
Day 47: 34 adults, 52 children
Day 48: 224 adults, 440 children
Day 49: 91 adults, 95 children
Day 50: 115 adults, 222 children
Day 51: 71 adults, 108 children
Day 52: 194 adults, 241 children
Day 53: 193 adults, 82 children
Day 54: 19 adults, 37 children
Day 55: 113 adults, 198 children
Day 56: 217 adults, 428 children
Day 57: 29 adults, 20 children
Day 58: 135 adults, 184 children
Day 59: 229 adults, 212 children
Day 60: 141 adults, 168 children
Day 61: 137 adults, 208 children
Day 62: 56 adults, 45 children
Day 63: 286 adults, 17 children
Day 64: 205 adults, 282 children
Day 65: 32 adults, 36 children
Day 66: 84 adults, 128 children
Day 67: 38 adults, 34 children
Day 68: 121 adults, 32 children
Day 69: 137 adults, 224 children
Day 70: 70 adults, 131 children
Day 71: 118 adults, 152 children
Day 72: 169 adults, 98 children
Day 73: 118 adults, 167 children
Day 74: 132 adults, 103 children
Day 75: 153 adults, 266 children
Day 76: 286 adults, 549 children
Day 77: 18 adults, 15 children
Day 78: 153 adults, 263 children
Day 79: 17 adults, 16 children
Day 80: 116 adults, 122 children
Day 81: 141 adults, 25 children
Day 82: 48 adults, 58 children
Day 83: 99 adults, 82 children
Day 84: 180 adults, 34 children
Day 85: 135 adults, 29 children
Day 86: 151 adults, 243 children
Day 87: 98 adults, 47 children
Day 88: 130 adults, 82 children
Day 89: 188 adults, 355 children
Day 90: 128 adults, 137 children
Day 91: 36 adults, 70 children
Day 92: 104 adults, 116 children
Day 93: 44 adults, 12 children
Day 94: 235 adults, 390 children
Day 95: 38 adults, 38 children
Day 96: 184 adults, 335 children
Day 97: 202 adults, 191 children
Day 98: 66 adults, 124 children
Day 99: 101 adults, 182 children
Day 100: 277 adults, 80 children
Day 101: 133 adults, 65 children
Day 102: 224 adults, 95 children
Day 103: 288 adults, 301 children
Day 104: 271 adults, 168 children
Day 105: 240 adults, 149 children
Day 106: 35 adults, 43 children
Day 107: 74 adults, 16 children
Day 108: 196 adults, 34 children
Day 109: 207 adults, 245 children
Day 110: 67 adults, 96 children
Day 111: 33 adults, 10 children
Day 112: 47 adults, 91 children
Day 113: 107 adults, 137 children
Day 114: 267 adults, 43 children
Day 115: 284 adults, 474 children
Day 116: 87 adults, 125 children
Day 117: 78 adults, 19 children
Day 118: 65 adults, 59 children
Day 119: 210 adults, 382 children
Day 120: 25 adults, 33 children
Day 121: 145 adults, 112 children
Day 122: 84 adults, 108 children
Day 123: 70 adults, 20 children
Day 124: 172 adults, 238 children
Day 125: 261 adults, 471 children
Day 126: 241 adults, 151 children
Day 127: 270 adults, 513 children
Day 128: 234 adults, 395 children
Day 129: 198 adults, 74 children
Day 130: 223 adults, 271 children
Day 131: 203 adults, 148 children
Day 132: 129 adults, 102 children
Day 133: 142 adults, 182 children
Day 134: 142 adults, 123 children
Day 135: 180 adults, 64 children
Day 136: 267 adults, 35 children
Day 137: 142 adults, 15 children
Day 138: 201 adults, 98 children
Day 139: 262 adults, 268 children
Day 140: 263 adults, 326 children
Day 141: 239 adults, 51 children
Day 142: 255 adults, 152 children
Day 143: 18 adults, 14 children
Day 144: 89 adults, 29 children
Day 145: 262 adults, 509 children
Day 146: 193 adults, 379 children
Day 147: 87 adults, 22 children
Day 148: 151 adults, 65 children
Day 149: 79 adults, 79 children
Day 150: 204 adults, 121 children
Day 151: 262 adults, 465 children
Day 152: 105 adults, 153 children
Day 153: 277 adults, 13 children
Day 154: 151 adults, 20 children
Day 155: 29 adults, 21 children
Day 156: 93 adults, 136 children
Day 157: 239 adults, 12 children
Day 158: 254 adults, 140 children
Day 159: 88 adults, 21 children
Day 160: 284 adults, 182 children
Day 161: 134 adults, 229 children
Day 162: 192 adults, 349 children
Day 163: 149 adults, 229 children
Day 164: 185 adults, 196 children
Day 165: 64 adults, 33 children
Day 166: 195 adults, 95 children
Day 167: 168 adults, 142 children
Day 168: 57 adults, 62 children
Day 169: 158 adults, 111 children
Day 170: 86 adults, 133 children
Day 171: 79 adults, 104 children
Day 172: 100 adults, 13 children
Day 173: 218 adults, 410 children
Day 174: 233 adults, 132 children
Day 175: 294 adults, 327 children
Day 176: 14 adults, 19 children
Day 177: 151 adults, 255 children
Day 178: 117 adults, 94 children
Day 179: 88 adults, 84 children
Day 180: 12 adults, 15 children
Day 181: 262 adults, 334 children
Day 182: 293 adults, 299 children
